{'generations': 100, 'population_size': 50, 'breeding_rate': 0.4, 'crossover_rate': 0.8, 'mutation_rate': 0.15, 'mutation_range': 0.2, 'select_parents_stochastically': True}
FITNESS - train_best: 16.50, train_mean: 26.45, test_best: 5.83, test_mean: 9.39
FITNESS - train_best: 16.50, train_mean: 24.68, test_best: 5.83, test_mean: 8.85
FITNESS - train_best: 16.50, train_mean: 25.37, test_best: 5.83, test_mean: 9.03
FITNESS - train_best: 13.80, train_mean: 25.11, test_best: 4.90, test_mean: 9.00
FITNESS - train_best: 13.80, train_mean: 27.24, test_best: 4.90, test_mean: 9.58
FITNESS - train_best: 13.80, train_mean: 22.96, test_best: 4.90, test_mean: 8.40
FITNESS - train_best: 13.68, train_mean: 22.97, test_best: 4.90, test_mean: 8.26
FITNESS - train_best: 13.68, train_mean: 22.42, test_best: 4.90, test_mean: 8.18
FITNESS - train_best: 13.68, train_mean: 20.58, test_best: 4.90, test_mean: 7.51
FITNESS - train_best: 13.62, train_mean: 24.73, test_best: 4.90, test_mean: 8.93
FITNESS - train_best: 13.62, train_mean: 22.33, test_best: 4.90, test_mean: 8.13
FITNESS - train_best: 12.22, train_mean: 18.32, test_best: 4.61, test_mean: 6.74
FITNESS - train_best: 12.22, train_mean: 20.79, test_best: 4.61, test_mean: 7.52
FITNESS - train_best: 12.22, train_mean: 18.39, test_best: 4.61, test_mean: 6.81
FITNESS - train_best: 12.22, train_mean: 19.38, test_best: 4.61, test_mean: 7.06
FITNESS - train_best: 12.22, train_mean: 20.14, test_best: 4.61, test_mean: 7.31
FITNESS - train_best: 12.22, train_mean: 19.68, test_best: 4.61, test_mean: 7.20
FITNESS - train_best: 12.22, train_mean: 18.50, test_best: 4.61, test_mean: 6.68
FITNESS - train_best: 12.22, train_mean: 17.67, test_best: 4.59, test_mean: 6.51
FITNESS - train_best: 12.22, train_mean: 17.68, test_best: 4.44, test_mean: 6.42
FITNESS - train_best: 12.22, train_mean: 17.77, test_best: 4.44, test_mean: 6.55
FITNESS - train_best: 12.22, train_mean: 16.55, test_best: 4.44, test_mean: 6.06
FITNESS - train_best: 12.22, train_mean: 15.78, test_best: 4.44, test_mean: 5.80
FITNESS - train_best: 11.98, train_mean: 18.67, test_best: 4.39, test_mean: 6.67
FITNESS - train_best: 11.96, train_mean: 16.66, test_best: 4.39, test_mean: 6.10
FITNESS - train_best: 11.96, train_mean: 17.31, test_best: 4.37, test_mean: 6.29
FITNESS - train_best: 11.96, train_mean: 16.85, test_best: 4.37, test_mean: 6.06
FITNESS - train_best: 11.96, train_mean: 19.10, test_best: 4.37, test_mean: 6.83
FITNESS - train_best: 11.96, train_mean: 19.33, test_best: 4.37, test_mean: 6.93
FITNESS - train_best: 11.72, train_mean: 19.29, test_best: 4.37, test_mean: 6.90
FITNESS - train_best: 11.72, train_mean: 18.93, test_best: 4.37, test_mean: 6.83
FITNESS - train_best: 11.44, train_mean: 16.82, test_best: 4.37, test_mean: 6.09
FITNESS - train_best: 11.26, train_mean: 18.73, test_best: 4.21, test_mean: 6.78
FITNESS - train_best: 11.26, train_mean: 17.73, test_best: 4.21, test_mean: 6.39
FITNESS - train_best: 11.26, train_mean: 17.52, test_best: 4.19, test_mean: 6.36
FITNESS - train_best: 11.02, train_mean: 18.42, test_best: 4.09, test_mean: 6.60
